Subject Code,Catalog Number,Description
GEOG,30763,"Economic Geography is the study of how elements within the economy are spatially arranged, as well as the ways that space, place and spatial scales shape economic activities in different parts of the world.  Through a series of readings, discussions, and research assignments, this course examines the distribution of economic activities on the earth's surface; market resource and transportation factors in location theory, and the role of state, market and civil society's agents in management of the economy.  Students are further introduced to Geographic Information Systems (GIS) through content-focused lab assignments, though no previous experience with GIS is required for this course."
GEOG,30773,"This course uses beer (and wine) as a lens to examine the intersections of historical, environmental, cultural, legal, and economic geography.  Students are introduced to the major systematic fields of Geographic inquiry:  Historical Geography, Cultural Geography, Economic Geography, etc through focused lessons examining the role of beer production in the establishment of historical civilizations, how climate change affects barley and hop production, and the locational characteristics required for a brewery or brewpub to be successful."
GEOG,30783,"Since mass tourism's emergence in the late 19th century, tourism has played an increasingly significant role in shaping and reshaping the geographies of places around the world.  This course pays specific attention to the ways in which places develop into tourist destinations, as well as the social, environmental, economic, and political ramifications of that development."
GEOG,30793,"This course covers the study of sport through the lens of social science.  It introduces students to social scientific theory and analytic methods in the context of historical and contemporary sports topics.  Course topics include sports and cultural geography; sports and nationalism; race, gender, politics, and sports; sports business and economics; and sports analytics."
GEOG,30803,This course number will be used for trial runs of upper-division environmentally-focused Geography courses.  All the classes will develop student's understanding of Environmental Geography and Human-Environment Interactions.  May be repeated for credit as course topic changes.
GEOG,30813,"This course examines relationships between people and the environment from multiple perspectives, providing a context for thinking about the causes and consequences of environmental change and their spatial patterns around the world.  Of particular interest are the cultural, ethical, economic, technological, and population considerations that make humans want to use, protect, destroy, or adapt to environmental systems and their components.  This course will also address the function of specific environmental systems themselves, including how they influence and respond to human actions."
GEOG,30823,"In this course, we will examine the spatial dimensions of highly contentious issues surrounding nuclear technologies, including power generation, weapons, and medicine.  We will approach each of these issues through the perspectives offered by several subdisciplines within Geography, especially Environmental, Economic, Political, and Cultural Geography."
GEOG,30903,"This course introduces students to urban economic development (UED) policy and strategy in the United States. In particular, students are encouraged to respectfully and thoughtfully address the assumptions and biases embedded in urban economic development policy. For example, final papers will examine the presence or lack thereof of equity and sustainability aims in economic development initiatives, and analyze UED projects that respond to the specific challenges of rising inequality and climate change that threaten UED activity in the US and worldwide."
GEOG,30970,Topical studies in Geography.
GEOG,30990,This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average.
GEOG,40003,"Prerequisites: GEOG 30003 or permission of instructor.  A senior Honors Thesis research paper or equivalent creative project, under faculty direction, in a selected area of geography."
GEOG,40010,"An intensive field study in the regional and systematic geography of a selected area.  Examples include France, Central America, and the American West.  May be repeated for credit provided the selected area changes."
GEOG,40020,"Prerequisites:  GEOG 30313 or equivalent training with instructor's approval.
This course is only open to Geography majors.  The purpose of this course is to supplement the internship experience of geography majors through 
written reflection, periodic conversation with a supervising professor, and exploration of connections between concepts in GIS and practices of GIS in different disciplines. Students may take this course a maximum of two times to earn up to 6 total credit hours. A maximum of 3 credit hours can be applied towards the Geography major. The remaining credit hours can be applied to the 
student's overall degree as general elective credits."
GEOG,40303,Prerequisites:  GEOG 30313 or with instructor permission.  This course number will be used for trial runs of upper-division technically-focused Geography courses.  All the classes will develop student's technical mapping and analysis skills using Geographic Information Systems software and/or statistical programs such as R or Python.  May be repeated for credit provided the technical and/or topical focus changes.
GEOG,40313,"Prerequisites: GEOG 30313, or instructor consent.  In this course, students gain experience with advanced applications of Geographic Information Systems (GIS) software.  Topics covered include GIS modeling; web GIS applications and distributed GIS services; open-source GIS; developing geoprocessing scripts using the Python programming language; and the current state of the GIS profession.  Students will also complete a semester-long course project in which they apply GIS techniques to a topic of their interest."
GEOG,40323,Prerequisites: GEOG 30313; another introductory GIS course; or instructor consent.  This advanced GIS course gives students experience applying GIS to solve real-world urban and business problems.  Topics covered include demographic analysis; remote sensing of urban areas; network analysis; 3D urban modeling; spatial statistics; time and GIS; geodemographic classification; market area analysis; and web GIS services.  Students will also complete a semester-long group project that applies GIS to assist an organization or business in the Fort Worth area.
GEOG,40333,"Prerequisites:  GEOG 30313 or with instructor permission.  Cartography refers to the art and science of map-making. Contemporary cartography is primarily accomplished using digital technologies including Geographic Information
Systems (GIS). Mapping is crucial to exploring and understanding distributions of
geographic phenomena. It is also an important phase of many database-intensive analyses, because a map is often the best way to visualize results and show them to others. Our emphases in this course will be on designing and producing both thematic and reference maps at multiple scales using symbols and visual hierarchies that allow the content of the maps to be effectively communicated and presented in aesthetically-pleasing and/or engaging ways. Topics covered include: significant eras in cartographic design, key historical and contemporary cartographers, map projections, symbolizing quantitative data, use of space, layout, compilation, verbal content, and the use of computer technology
in the design and production of maps."
GEOG,40343,"This course provides an in-depth exploration of Artificial Intelligence (AI) with a focus on large language models (LLMs) and their applications in Geography.  Students will gain foundational knowledge in AI and deep learning, develop skills in prompt engineering, and apply AI tools to solve real-world problems, particularly in geographic analysis and spatial data interpretation.  The course emphasizes hands-on experience, ethical considerations, and culminates in a final project where students integrate AI concepts to design their own applications with a geographic focus."
GEOG,50970,"Supervised reading, research, and preparation of a substantial paper focused on a specific regional analysis or topical subdiscipline of geography.  Regional characteristics investigated may include economic, political, historical, and cultural components as well as topography, climate, and natural resources.  Examples of topics include advanced studies in Urban Geography, Cultural Geography, Geopolitics, and Historical Geography."
